Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
GpWXEpVyehmKP2WQsD_Y8g,OTB,141 Broadway,"{'latitude': 40.710484, 'longitude': -73.963408}",140,4.5,11211,american
N5UY113nNpeKdLPv0cbMjQ,The Wild Son,132 First Ave,"{'latitude': 40.727424, 'longitude': -73.985201}",505,4.5,10009,american
8JDwcklaawqYprHg0c9aIA,The Brooklyn Tree,188 Montrose Ave,"{'latitude': 40.70734, 'longitude': -73.94186}",164,4.5,11206,american
xkvv0n7jbl4Ra3Vm_jfxaA,Upland,345 Park Ave S,"{'latitude': 40.7418912, 'longitude': -73.9846396}",1026,4,10010,american
txSykTj5nbwmpiVNoK_Dyg,Blue Ribbon Brasserie - SoHo,97 Sullivan St,"{'latitude': 40.725456, 'longitude': -74.003027}",935,4.5,10012,american
DpZBA0-f7Um9lvnp1zZM2A,Earl's Beer & Cheese,1259 Park Ave,"{'latitude': 40.78729, 'longitude': -73.95152}",601,4.5,10029,american
VCqNjupCWZ5INzOcyBMJSg,The Grey Dog - Union Square,90 University Pl,"{'latitude': 40.733828, 'longitude': -73.993052}",1065,4,10003,american
8F81LrdFm6P5kkFpsw0n0w,Sweet Chick,178 Ludlow St,"{'latitude': 40.7217399, 'longitude': -73.98739}",1667,4,10002,american
cCesIqo-LQt0cRlZAnrAZQ,Friedmans,132 W 31st St,"{'latitude': 40.74839, 'longitude': -73.99062}",2481,4,10001,american
UkfkaVhQCqtKSRJ3PeX7Ig,The Carroll,502 Henry St,"{'latitude': 40.68406, 'longitude': -73.99957}",10,5,11231,american
8bIXIStb1SVu1sXYfcMH5g,Ruby's Cafe,198 E 11th St,"{'latitude': 40.730932, 'longitude': -73.988061}",111,4.5,10003,american
0IwdwNnbro5RLLIlaxyfpQ,The Wilson,132 W 27th St,"{'latitude': 40.74587, 'longitude': -73.99265}",167,4.5,10001,american
8fDAF540cmDeC-nVlJKPwQ,A10 Kitchen,162 Ave A,"{'latitude': 40.72807, 'longitude': -73.981875}",12,5,10009,american
W_DXM1ZCcM9NTFOR_Jow7w,Sixth Ward,166 Smith St,"{'latitude': 40.68599, 'longitude': -73.9911}",17,4.5,11201,american
MKMx5TAmzXfjgLdXgu6FVQ,South Brooklyn Foundry,6909 3rd Ave,"{'latitude': 40.63539, 'longitude': -74.02602}",300,4.5,11209,american
iZeAlmKKvxnPu5oUKN-B3Q,Sweet Chick,341 Flatbush Ave,"{'latitude': 40.67763, 'longitude': -73.97255}",665,4,11217,american
Oq1mej1BYfjcdPKkM_5o8g,High Street On Hudson,637 Hudson St,"{'latitude': 40.73888, 'longitude': -74.00574}",413,4,10014,american
lhEzTykkqFz92Vq2uILtyw,The Wren,344 Bowery,"{'latitude': 40.7263350655, 'longitude': -73.9920476876}",558,4,10012,american
MHtbBc2np3sR7jiV9GphNg,Tribeca's Kitchen,200 Church St,"{'latitude': 40.7162705535921, 'longitude': -74.0072225927912}",517,4,10013,american
LvKQJRmHRp9rPaZbB8UnmQ,Fresh Eats Café,478 72nd St,"{'latitude': 40.63173, 'longitude': -74.02213}",1,5,11209,american
moaPtBNbQ5VNu2Z0ilCVGQ,Walter's,166 DeKalb Ave,"{'latitude': 40.6894111633301, 'longitude': -73.973258972168}",530,4,11217,american
VnnuUGARPaTevTIIApWWVw,The Sweet Sap,189-11 Northern Blvd,"{'latitude': 40.7578205497777, 'longitude': -73.7917962842939}",336,4.5,11358,american
ioUJB91aFWxlV--opOtVvA,Leslie's Kitchen,109 Wilson Ave,"{'latitude': 40.70136, 'longitude': -73.92663}",58,4.5,11237,american
yTng6X-YW3_hKMNzcdSHyw,Turntable Chicken Rock,290 5th Ave,"{'latitude': 40.74635, 'longitude': -73.98655}",55,4,10001,american
XsElXaLxUPKquI78poB8yw,Maison Pickle,2315 Broadway,"{'latitude': 40.7870473, 'longitude': -73.9781361}",1031,4,10024,american
q1uIqB8PvyCCX8TajaRYBg,The Little Owl,90 Bedford St,"{'latitude': 40.7323808291402, 'longitude': -74.0053009986877}",1290,4,10014,american
VRt8UoXcPZnlKo-Ut9jLRQ,Penny Bridge,2803 Jackson Ave,"{'latitude': 40.748371566690125, 'longitude': -73.93907210557035}",3,5,11101,american
mHBhUxHgDGjsB1LJl4qW0w,Hillstone Restaurant,888 3rd Ave,"{'latitude': 40.758352, 'longitude': -73.969112}",1113,4,10022,american
XO3yD87rTPz9o6Dy9qRaJg,The Spaniard,190 W 4th St,"{'latitude': 40.7327497, 'longitude': -74.0021829}",262,4,10014,american
S-orV8mh7O8POI3EZzndKw,Burger IM,531 Myrtle Ave,"{'latitude': 40.69395918630356, 'longitude': -73.96346563822044}",1,4,11205,american
lcI9kOcRqxxMhM4b5pHqsg,Dawa's,51-18 Skillman Ave,"{'latitude': 40.7456869, 'longitude': -73.9126859}",245,4.5,11377,american
dkAj-3gmkvdA4XkJmw6hCw,Juanchi's Burger,225 S 1st St,"{'latitude': 40.713003, 'longitude': -73.958863}",468,4.5,11211,american
r-izNItUH4ugnFodUOZX2A,International Wings Factory,1762 1st Ave,"{'latitude': 40.7801834538692, 'longitude': -73.9467542692273}",451,4.5,10128,american
57joDNvKR4nd05PqNcgzKA,Emoji Burger,80-07 37th Ave,"{'latitude': 40.7496944, 'longitude': -73.8860056}",219,4,11372,american
h5WkewI6U7NjLB_n6WgdvQ,HandCraft Kitchen & Cocktails,367 3rd Ave,"{'latitude': 40.740967, 'longitude': -73.981292}",399,4,10016,american
NDIrifAl6K-RrnZ2D3ZGbw,Emily,919 Fulton St,"{'latitude': 40.68351, 'longitude': -73.96643}",808,4,11238,american
7qtIemPU3LlNix8CVWdhwA,Clancey,79 Clinton St,"{'latitude': 40.7190299, 'longitude': -73.98521}",176,4.5,10002,american
t7xqAMBQNH4ppsPSOMzFyg,Treadwell Park,1125 1st Ave,"{'latitude': 40.7614, 'longitude': -73.9609}",447,4,10065,american
1Q3oaJahyGRogDWgpo7PIw,Five Leaves,18 Bedford Ave,"{'latitude': 40.72371830945, 'longitude': -73.95159863632}",1615,4,11222,american
JXcYD52B4190gIh6_RSXCg,Lilly's Craft and Kitchen,675 9th Ave,"{'latitude': 40.76138, 'longitude': -73.99071}",1043,4,10036,american
UZ7C31NlfVQiUamJYbsiGA,Kind Of Soul,497 Atlantic Ave,"{'latitude': 40.68573, 'longitude': -73.9813}",92,4.5,11217,american
vQcK7BH6maW9dAZWJOuW3Q,The Mermaid Inn,570 Amsterdam Ave,"{'latitude': 40.7887398925594, 'longitude': -73.9744491607132}",1119,4,10024,american
NVp1S29NLR573Lc4ZvICKw,Forest Hills Station House,106-11 71st Ave,"{'latitude': 40.7199422, 'longitude': -73.8451058}",1123,4,11375,american
gApAxCJBFJ42YYCpiP4elA,Foxface,80 Saint Mark's Pl,"{'latitude': 40.72765, 'longitude': -73.98573}",27,4.5,10003,american
