Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
pPqEu60FMffpiWqk2MCrVA,Hutaoli music Restaurant & Bar,42 W 33rd St,"{'latitude': 40.748413, 'longitude': -73.9871229}",3,4,10001,chinese
chinese,,,,,,,
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,334 W 46th St,"{'latitude': 40.76015, 'longitude': -73.9893699}",1283,4,10036,chinese
chinese,,,,,,,
ye-TSU-mu1Gd5TAJOpI5Mg,Lichee Nut,162 Montague St,"{'latitude': 40.694149, 'longitude': -73.9928131}",269,3,11201,chinese
chinese,,,,,,,
v0opDMezc6pKgdfR22KUnQ,Da Tang Szechuan,18 W 38th St,"{'latitude': 40.75128, 'longitude': -73.98376}",256,4.5,10018,chinese
chinese,,,,,,,
FcHVRbMcYY-D1Glzwo3ofA,MR BAO,179 5th Ave,"{'latitude': 40.67719, 'longitude': -73.97981}",71,4.5,11217,chinese
chinese,,,,,,,
GCcJqfBm3Fq-ccYwit6xcw,Asian Taste,199 E 3rd St,"{'latitude': 40.7228795731505, 'longitude': -73.9829911834261}",16,4.5,10009,chinese
chinese,,,,,,,
a93NwZxjkPQydJxR42oPyg,Grain House,929 Amsterdam Ave,"{'latitude': 40.800127673827, 'longitude': -73.9657538384199}",83,4,10025,chinese
chinese,,,,,,,
wDuf4Qz9qsC62amLZgWNJQ,Little Alley,550 3rd Ave,"{'latitude': 40.74744, 'longitude': -73.97728}",377,4,10016,chinese
chinese,,,,,,,
SNhDVaf_n7VDZcfry8mYdA,The Bao,13 St Marks Pl,"{'latitude': 40.72939, 'longitude': -73.9889199}",1233,4,10003,chinese
chinese,,,,,,,
8ig0yf0003DAp4YOGTlbVg,Spicy Village,68 Forsyth St,"{'latitude': 40.71695, 'longitude': -73.99327}",663,4,10002,chinese
chinese,,,,,,,
sfsjk1h50ooC2ioY7m48gw,Pig Heaven,1420 3rd Ave,"{'latitude': 40.77544, 'longitude': -73.95686}",413,4,10028,chinese
chinese,,,,,,,
Kqb7MjTPNkjPMoFRd-rWpw,MáLà Project,122 1st Ave,"{'latitude': 40.72713, 'longitude': -73.98542}",682,4,10009,chinese
chinese,,,,,,,
97q5nUQTuBo_h00XCxna2A,Tasty Hand-Pulled Noodles,1 Doyers St,"{'latitude': 40.7142, 'longitude': -73.99787}",1621,4,10013,chinese
chinese,,,,,,,
5TnBfeoBpxPPwIXMGBMasg,New Double Dragon,37 1st Ave,"{'latitude': 40.7242, 'longitude': -73.98801}",88,4,10003,chinese
chinese,,,,,,,
4FD0TAxe70nb3ngk3sXF9Q,Uluh,152 2nd Ave,"{'latitude': 40.7293403, 'longitude': -73.9866071}",316,4,10003,chinese
chinese,,,,,,,
Bwj7nzWphGV6FaZ_ygTSOg,Happy Hot Hunan,969 Amsterdam Ave,"{'latitude': 40.80133, 'longitude': -73.96466}",162,3.5,10025,chinese
chinese,,,,,,,
wPL0epJzosoFRYox1a5lvA,New Golden Star,4247 Broadway,"{'latitude': 40.8498685, 'longitude': -73.9362273}",100,4,10033,chinese
chinese,,,,,,,
hUdRX0a_2ZZEmB8KCp-WYw,Authentic Szechuan,384 5th Ave,"{'latitude': 40.671147, 'longitude': -73.984866}",98,3.5,11215,chinese
chinese,,,,,,,
FXhSEZfIqjMZh4hR0_8jMQ,China Xiang 中国湘,360 W 42nd Street,"{'latitude': 40.7582902125633, 'longitude': -73.9925113993899}",490,4,10036,chinese
chinese,,,,,,,
qH8PVeddtVs9cKN2pwgdkQ,Hwa Yuan,42 E Broadway,"{'latitude': 40.7137, 'longitude': -73.99598}",303,4,10002,chinese
chinese,,,,,,,
6tASYtO9zOrXr8-LPnAToQ,Zest Szechuan,45 W 39th St,"{'latitude': 40.75274, 'longitude': -73.98445}",595,4,10018,chinese
chinese,,,,,,,
xLJnT-pB4VECJzmUf1Whpg,3 Times 茅庐,90 Clinton St,"{'latitude': 40.718271, 'longitude': -73.985209}",83,4.5,10002,chinese
chinese,,,,,,,
2wVirrAVg3ltAFHoHeXHMQ,Dim Sum Palace,59 2nd Ave,"{'latitude': 40.7259, 'longitude': -73.98986}",179,4.5,10003,chinese
chinese,,,,,,,
M-odQWSEfsR2mVEw7nKG-g,Nyonya,199 Grand St,"{'latitude': 40.7190148, 'longitude': -73.9968228}",2094,4,10013,chinese
chinese,,,,,,,
LztkKM-lvRraBbS9TVXzcg,Yiwanmen,150 Mott St,"{'latitude': 40.7193132739237, 'longitude': -73.9962630421457}",149,4,10013,chinese
chinese,,,,,,,
62Kedrco374IuZ_OFb0BxA,3 Times 茅庐,818 Broadway,"{'latitude': 40.73285, 'longitude': -73.99104}",108,4,10003,chinese
chinese,,,,,,,
VW2Epq3C8jqysu6Edpu-RA,Atlas Kitchen,258 W 109th St,"{'latitude': 40.80332, 'longitude': -73.9668}",113,4,10025,chinese
chinese,,,,,,,
Puyzn1gagH9TsJz7EBJs3g,Baji Baji,145 1st Ave,"{'latitude': 40.72817, 'longitude': -73.98511}",30,4.5,10003,chinese
chinese,,,,,,,
olRNNJCJ2TJvPRmjBiOcGA,Silky Kitchen,137 E 13th St,"{'latitude': 40.73297, 'longitude': -73.98829}",225,4.5,10003,chinese
chinese,,,,,,,
xH7mEjh4Rn6KdHjXYNoOjw,Yaso Tangbao,148 Lawrence St,"{'latitude': 40.6918206366101, 'longitude': -73.9863992364001}",765,3.5,11201,chinese
chinese,,,,,,,
5rX_7IkvFx5MKqS3ikQe3Q,Fortune House,82 Henry St,"{'latitude': 40.698455, 'longitude': -73.992805}",127,3,11201,chinese
chinese,,,,,,,
DpfE0gPBXj-aj2pnEh4E2Q,Wei Williamsburg,145 Borinquen Pl,"{'latitude': 40.7107868, 'longitude': -73.9542168}",170,3.5,11211,chinese
chinese,,,,,,,
qHi_FA4zSEkFshXQ4Chc9A,Jiang Diner,309 E 5th St,"{'latitude': 40.7268045, 'longitude': -73.9882662}",132,4,10003,chinese
chinese,,,,,,,
w3wKbjuNCZnYoPOr-FCk5w,New Moon,547 2nd Ave,"{'latitude': 40.742569, 'longitude': -73.977856}",148,4,10016,chinese
chinese,,,,,,,
Lp8vAE5nHSt5zbu-lSGK8A,Hop Lee Restaurant,16 Mott St,"{'latitude': 40.71426, 'longitude': -73.99849}",317,4,10013,chinese
chinese,,,,,,,
