Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
OMF0rN7FHM2KovR8hJVbKA,Kimchee Market,191 Greenpoint Ave,"{'latitude': 40.73063, 'longitude': -73.95195}",55,4.0,11222
c06A8F4Z3hP5tJ2VetxCjA,Hahm Ji Bach,40-11 149th Pl,"{'latitude': 40.763106, 'longitude': -73.814917}",1155,4.0,11354
wfGFM8zvdw9Zs-jxsTdjww,Soju Haus,315 5th Ave,"{'latitude': 40.7468603, 'longitude': -73.9851724}",554,4.0,10016
g-Fe-czz3PrpZkb0U88R2w,Taste Korea 232,232 Taaffe Pl,"{'latitude': 40.691081049956, 'longitude': -73.959718469777}",196,3.5,11205
fX_E2J6LqK6u77zNa8xyJQ,JUA,36 E 22nd St,"{'latitude': 40.739694, 'longitude': -73.987832}",43,5.0,10010
BIjqonwpbOqn-YRxFqcNPg,Dokebi Bar & Grill,199 Grand St,"{'latitude': 40.71421, 'longitude': -73.9603}",389,3.5,11211
psqD5se4A0sv9Zn3PyUlcg,K-Bap,62 W 56th St,"{'latitude': 40.76332, 'longitude': -73.97717}",394,4.0,10019
FeSynfcDT4qB2kDixHUQCA,Danji,346 W 52nd St,"{'latitude': 40.764, 'longitude': -73.98686}",1009,4.0,10019
BtVnZmPY51ZWGY63-mzJ7A,ON,110 Madison Ave,"{'latitude': 40.74502, 'longitude': -73.98513}",156,4.5,10016
iWiRGDphwDrXAQyEJL5KVA,White Tiger,601 Vanderbilt Ave,"{'latitude': 40.67947, 'longitude': -73.96785}",170,4.0,11238
fVsH6QIJPzXpVbgmeiolsA,Jungsik,2 Harrison St,"{'latitude': 40.7185910158738, 'longitude': -74.0088844299316}",601,4.5,10013
VvsZAnEwU4c8Xkyrzx05Nw,Anytime,23 W 32nd St,"{'latitude': 40.74779, 'longitude': -73.98674}",1436,4.5,10001
pcb8yK9_28uWz5CyokjwSg,Bangia,11 E 32nd St,"{'latitude': 40.746854, 'longitude': -73.9845201}",403,4.0,10016
jvBtgqUpW0v4wO5QQ-HALQ,East Hae,98 N 6th St,"{'latitude': 40.71847, 'longitude': -73.96054}",24,3.5,11249
1vSx0gpTqro-N73NGKneEA,Insa,328 Douglass St,"{'latitude': 40.6795562014419, 'longitude': -73.9825174981801}",255,3.5,11217
gXnC_aZR09BvqEQKGKFjBg,BCD Tofu House,5W 32nd St,"{'latitude': 40.747509, 'longitude': -73.986079}",2060,4.0,10001
H5jHfG4ZkNPaG6vojmAXww,Chingoo Restaurant,373 Graham Ave,"{'latitude': 40.715796, 'longitude': -73.944733}",52,4.5,11211
WVgYnHEQTZzDkqpvEV4mbQ,Myung San,162-21 Depot Rd,"{'latitude': 40.7621256898097, 'longitude': -73.8031031180687}",49,4.0,11358
IIM-dzbOvg4x7h-AjHsq9Q,Bulbap Grill,646 Manhattan Ave,"{'latitude': 40.7243, 'longitude': -73.9509099}",153,4.5,11222
z28cRtpdfiJfzIp1vkMAwQ,Koko Wings,248 W 106th St,"{'latitude': 40.80096, 'longitude': -73.96734}",333,3.5,10025
zcWxZaC7pnIVe2ON4uUEDw,Pelicana Chicken - Sunnyside,47-08 Greenpoint Ave,"{'latitude': 40.74236, 'longitude': -73.91755}",425,4.0,11104
09y5uyX7z41mjoA9fVF1bQ,Tang Restaurant,196-50 Northern Blvd,"{'latitude': 40.75744, 'longitude': -73.78383}",665,4.0,11358
xSY8MI449l9HvKJKBSlVHA,Korean Express,807 Lexington Ave,"{'latitude': 40.76423, 'longitude': -73.96654}",305,3.5,10065
3nvwvbbkJN2Cyp1VUuG6rA,Daesung Korean Noodle,45-04 162nd St,"{'latitude': 40.75616, 'longitude': -73.80484}",312,4.5,11358
lJCW47cV6-0rXtQF9EAsuw,Koko Wings -  East Village,192 1st Ave,"{'latitude': 40.72972, 'longitude': -73.98354}",42,4.5,10009
P0OilvtjGnUQgf7hFzEgcg,Mad For Chicken Williamsburg,617 Grand St,"{'latitude': 40.71142, 'longitude': -73.94751}",129,4.5,11211
t_UObgQX6M_ZRn3tk2cXYQ,Let's Meat,307 5th Ave,"{'latitude': 40.746774, 'longitude': -73.985524}",1101,4.0,10016
LHcpOjPtc8QQCrFiRFjWyA,Slow Loris,556 Flatbush Ave,"{'latitude': 40.6601311, 'longitude': -73.9607934}",101,4.0,11225
28CNHYULci66pJAz-0_pOg,Cote,16 W 22nd St,"{'latitude': 40.741192, 'longitude': -73.991314}",945,4.0,10010
iYjIBo73l5UHRfQGBaZaEg,Little Dokebi,85 Driggs Ave,"{'latitude': 40.723048, 'longitude': -73.942335}",130,4.0,11222
NsACuDqm5AVPpUocvuXONg,Atomix,104 E 30th St,"{'latitude': 40.74421, 'longitude': -73.98286}",76,4.5,10016
FizBsTIAJwNrImIG1mPDcg,Barn Joo,35 Union Sq W,"{'latitude': 40.73684, 'longitude': -73.99069}",1637,4.0,10003
I6KHYESZdZQz0fnMaMyIpQ,Zusik,202 W 14th St,"{'latitude': 40.738532, 'longitude': -74.000368}",167,4.5,10011
2yMyxyfWrpHygHPyByKdSA,Korean Tofu House,763 61st St,"{'latitude': 40.63536, 'longitude': -74.01069}",91,3.0,11220
tWSjcyxwBccZkEyhry_aEQ,Mokbar Brooklyn,212 Flatbush Ave,"{'latitude': 40.6811485290527, 'longitude': -73.9756774902344}",144,3.5,11217
rtFGv0F-GBfsS-cViu-3hA,Gammeeok,9 W 32nd St,"{'latitude': 40.747653, 'longitude': -73.986114}",424,3.5,10001
IH7POsW-7u8REmanJAWDug,Modoo - Chicken & Noodle Bar,216-17 Northern Blvd,"{'latitude': 40.7610944545275, 'longitude': -73.7651000000002}",271,4.0,11361
